top_level,subfolder,api_key_required,authentication_required,additional_setup_required,review_required,notes
scientific-databases,ensembl-database,no,no,no,no,"Open REST API; rate limits—no key required"
scientific-databases,clinvar-database,optional,no,no,yes,"NCBI E-utilities: API key optional to raise rate limits; set Entrez.email when using Biopython"
scientific-databases,pubmed-database,optional,no,no,yes,"NCBI E-utilities: API key optional; set Entrez.email"
scientific-databases,string-database,no,no,no,no,"STRING REST API is open; respect rate limits"
scientific-databases,geo-database,optional,no,yes,yes,"GEO: use GEOparse; Biopython Entrez needs Entrez.email; API key optional for NCBI rate limits"
scientific-databases,clinicaltrials-database,no,no,no,no,"ClinicalTrials.gov API v2 is public (no auth)"
scientific-databases,kegg-database,no,no,no,yes,"KEGG REST has academic-use restrictions; check licensing if commercial use"
scientific-databases,gene-database,optional,no,no,yes,"NCBI Gene via E-utilities/Datasets: API key optional; set Entrez.email"
scientific-databases,reactome-database,no,no,yes,no,"Reactome API open; optional python client `reactome2py` install"
scientific-packages,biopython,optional,no,no,yes,"Entrez: set Entrez.email; API key optional for rate limits"
scientific-packages,pymc-bayesian-modeling,no,no,no,no,"PyMC requires standard package installs only"
scientific-packages,matplotlib,no,no,no,no,"No auth/setup required beyond pip install"
scientific-packages,polars,no,no,no,no,"No auth/setup required beyond pip install"
scientific-packages,statsmodels,no,no,no,no,"No auth/setup required beyond pip install"
scientific-packages,scikit-learn,no,no,no,no,"No auth/setup required beyond pip install"
scientific-packages,gget,yes,yes,yes,yes,"gget modules vary: gpt requires OpenAI API key; cosmic requires COSMIC credentials; several modules need `gget setup` (alphafold, elm, cellxgene, gpt)"
scientific-packages,seaborn,no,no,no,no,"No auth/setup required beyond pip install"
scientific-thinking,scientific-writing,no,no,no,no,"No auth/setup required"
scientific-thinking,exploratory-data-analysis,no,no,no,no,"No auth/setup required"
scientific-thinking,statistical-analysis,no,no,no,no,"No auth/setup required"
scientific-thinking,scientific-visualization,no,no,no,no,"No auth/setup required"
scientific-thinking,hypothesis-generation,no,no,no,no,"No auth/setup required"
scientific-thinking,peer-review,no,no,no,no,"No auth/setup required"
scientific-thinking,scientific-critical-thinking,no,no,no,no,"No auth/setup required"
scientific-thinking,scientific-brainstorming,no,no,no,no,"No auth/setup required"
